timestamp,anchorId,rtt_est,rtt_raw,dist_est,own_est,num_frames,frame_index,rssi,rtt,t1,t2,t3,t4
1623776693316613265,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,0,-78,60938,4303769364062,5069573117187,5069676635937,4303872943750
1623776693316613265,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,1,-77,54688,4335937376562,5101741156250,5101845635937,4336041910937
1623776693316613265,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,2,-78,54688,4368115376562,5133919185937,5134023635937,4368219881250
1623776693826086026,7c:df:a1:0f:74:e9,42,59,6.369999885559082,7.5,2,0,-79,57813,5830030226562,5584401806250,5584505635937,5830134114062
1623776693826086026,7c:df:a1:0f:74:e9,42,59,6.369999885559082,7.5,2,1,-79,60938,5863237226562,5617608912500,5617712635937,5863341010937
1623776694341413900,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,0,-77,56251,3840380842187,6101287515625,6101391635937,3840485018750
1623776694341413900,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,1,-77,62501,3870509842187,6131416575000,6131520635937,3870613965625
1623776694341413900,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,2,-77,57813,3904764842187,6165671637500,6165775635937,3904868898437
1623776694854835863,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,0,-76,62500,5089304375000,6608313550000,6608417635937,5089408523437
1623776694854835863,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,1,-76,57812,5121506362500,6640515564062,6640619635937,5121610492187
1623776694854835863,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,2,-76,54688,5155697362500,6674706593750,6674810635937,5155801459375
1623776695369307170,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,0,-78,54688,6357346364062,412265482812,412369235937,6357450171875
1623776695369307170,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,1,-78,57813,6389512376562,444431521875,444535235937,6389616148437
1623776695369307170,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,2,-77,56251,6421781376562,476700550000,476804235937,6421885118750
1623776695884089749,7c:df:a1:0f:74:e9,40,57,6.110000133514404,7.5,3,0,-79,57813,1172837826562,927215953125,927320235937,1172942167187
1623776695884089749,7c:df:a1:0f:74:e9,40,57,6.110000133514404,7.5,3,1,-79,57813,1208480826562,962859068750,962963235937,1208585051562
1623776695884089749,7c:df:a1:0f:74:e9,40,57,6.110000133514404,7.5,3,2,-79,57813,1237044851562,991423181250,991527235937,1237148964062
1623776696393607880,7c:df:a1:06:b9:dd,40,57,6.110000133514404,7.5,2,0,-75,59375,368537975000,1887548834375,1887653235937,368642435937
1623776696393607880,7c:df:a1:06:b9:dd,40,57,6.110000133514404,7.5,2,1,-77,56251,5960263842187,1510288053125,1510392235937,5960368081250
1623776696906550902,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,0,-76,62500,436591962500,1955602881250,1955707235937,436696379687
1623776696906550902,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,1,-76,59375,468743962500,1987754909375,1987859235937,468848348437
1623776696906550902,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,2,-75,59375,500981962500,2019992934375,2020097235937,501086323437
1623776697421646090,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,0,-79,62500,1700025964062,2465833198437,2465937235937,1700130064062
1623776697421646090,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,1,-78,64063,1730821964062,2496629223437,2496733235937,1730926040625
1623776697421646090,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,2,-78,59376,1763008964062,2528816253125,2528920235937,1763113006250
1623776697934117473,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,0,-79,67188,3224244826562,2978629457812,2978733235937,3224348671875
1623776697934117473,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,1,-79,62500,3257619851562,3012004589062,3012108235937,3257723560937
1623776697934117473,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,2,-79,54688,3288614826562,3042999656250,3043103235937,3288718460937
1623776698450971086,7c:df:a1:06:b9:dd,39,55,5.849999904632568,7.5,3,0,-77,57813,1232404442187,3493318714062,3493422235937,1232508021875
1623776698450971086,7c:df:a1:06:b9:dd,39,55,5.849999904632568,7.5,3,1,-77,56251,1264587442187,3525501771875,3525606235937,1264691962500
1623776698450971086,7c:df:a1:06:b9:dd,39,55,5.849999904632568,7.5,3,2,-77,53126,1296759442187,3557673831250,3557778235937,1296863900000
1623776698967659319,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,0,-76,62500,2489024962500,4008037601562,4008141235937,2489128659375
1623776698967659319,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,1,-76,54687,2521175975000,4040188642187,4040292235937,2521279623437
1623776698967659319,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,2,-76,59375,2555151962500,4074164657812,4074268235937,2555255600000
1623776699475345677,7c:df:a1:0e:db:f1,42,59,6.369999885559082,7.5,2,0,-78,59375,3789214964062,4555023898437,4555128235937,3789319360937
1623776699475345677,7c:df:a1:0e:db:f1,42,59,6.369999885559082,7.5,2,1,-78,59375,3821374964062,4587183923437,4587288235937,3821479335937
1623776699989219210,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,0,-80,60938,5285103826562,5039494928125,5039599235937,5285208195312
1623776699989219210,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,1,-80,59375,5315249826562,5069641023437,5069745235937,5315354098437
1623776699989219210,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,2,-80,56250,5347439826562,5101831120312,5101935235937,5347543998437
1623776700501865214,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,0,-78,57813,3287364442187,5548282489062,5548386235937,3287468246875
1623776700501865214,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,1,-78,59376,3318189442187,5579107546875,5579211235937,3318293190625
1623776700501865214,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,2,-77,57813,3349874442187,5610792603125,5610896235937,3349978132812
1623776701018711339,7c:df:a1:05:87:c7,45,63,6.889999866485596,7.5,3,0,-76,64063,4542157962500,6061172315625,6061276235937,4542261946875
1623776701018711339,7c:df:a1:05:87:c7,45,63,6.889999866485596,7.5,3,1,-75,62500,4577278975000,6096293354687,6096397235937,4577382918750
1623776701018711339,7c:df:a1:05:87:c7,45,63,6.889999866485596,7.5,3,2,-76,62500,4606665962500,6125680367187,6125784235937,4606769893750
1623776701533270211,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,0,-78,53126,5811250964062,6577061509375,6577165235937,5811354743750
1623776701533270211,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,1,-78,59375,5843358976562,6609169548437,6609273235937,5843462723437
1623776701533270211,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,2,-78,57813,5874441964062,6640252562500,6640356235937,5874545695312
1623776702048247730,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,0,-79,62500,625339426562,379736895312,379840835937,625443429687
1623776702048247730,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,1,-80,62500,657510426562,411907995312,412011835937,657614329687
1623776702048247730,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,2,-79,59376,689708426562,444106090625,444209835937,689812231250
1623776702564268649,7c:df:a1:06:b9:dd,38,54,5.71999979019165,7.5,3,0,-77,53125,5349448442187,899483867187,899587835937,5349552464062
1623776702564268649,7c:df:a1:06:b9:dd,38,54,5.71999979019165,7.5,3,1,-78,56250,5378102442187,928137923437,928241835937,5378206410937
1623776702564268649,7c:df:a1:06:b9:dd,38,54,5.71999979019165,7.5,3,2,-78,53126,5410861442187,960896981250,961000835937,5410965350000
1623776703078426081,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,0,-76,62500,6601524962500,1409654629687,1409758835937,6601629231250
1623776703078426081,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,1,-76,54687,6633717962500,1441847654687,1441951835937,6633822198437
1623776703078426081,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,2,-76,64062,6665890975000,1474020698437,1474124835937,6665995176562
1623776703590715047,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,0,-78,60938,1157949576562,1923761739062,1923865835937,1158053734375
1623776703590715047,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,1,-78,59376,1191413564062,1957225753125,1957329835937,1191517706250
1623776703590715047,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,2,-78,60938,1222337564062,1988149775000,1988253835937,1222441685937
1623776704107474030,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,0,-78,62501,2684091426562,2438495193750,2438598835937,2684195131250
1623776704107474030,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,1,-79,60938,2716228426562,2470632292187,2470735835937,2716332031250
1623776704107474030,7c:df:a1:0f:74:e9,44,61,6.630000114440918,7.5,3,2,-79,60938,2748432426562,2502836389062,2502940835937,2748536934375
1623776704622554885,7c:df:a1:06:b9:dd,39,56,5.980000019073486,7.5,3,0,-77,54688,692270042187,2953195625000,2953299835937,692374307812
1623776704622554885,7c:df:a1:06:b9:dd,39,56,5.980000019073486,7.5,3,1,-77,57813,724570042187,2985495682812,2985599835937,724674253125
1623776704622554885,7c:df:a1:06:b9:dd,39,56,5.980000019073486,7.5,3,2,-78,57813,756740042187,3017665740625,3017769835937,756844195312
1623776705140236987,7c:df:a1:05:87:c7,45,63,6.889999866485596,7.5,3,0,-76,65625,1950079575000,3469097381250,3469201835937,1950184095312
1623776705140236987,7c:df:a1:05:87:c7,45,63,6.889999866485596,7.5,3,1,-76,62500,1982282562500,3501300395312,3501404835937,1982387065625
1623776705140236987,7c:df:a1:05:87:c7,45,63,6.889999866485596,7.5,3,2,-76,62500,2015488562500,3534506425000,3534610835937,2015593035937
1623776705653881140,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,0,-78,62500,3218830576562,3984644339062,3984747835937,3218934135937
1623776705653881140,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,1,-78,53125,3251034564062,4016848348437,4016952835937,3251139104687
1623776705653881140,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,2,-78,65625,3283221564062,4049035376562,4049139835937,3283326089062
1623776706166204204,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,0,-80,60938,4744911451562,4499321475000,4499425835937,4745015873437
1623776706166204204,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,1,-79,56251,4777102426562,4531512546875,4531616835937,4777206771875
1623776706166204204,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,2,-79,59375,4812036426562,4566446654687,4566550835937,4812140667187
1623776706683760071,7c:df:a1:06:b9:dd,43,60,6.5,7.5,3,0,-77,59375,2753799042187,5014728401562,5014832835937,2753903535937
1623776706683760071,7c:df:a1:06:b9:dd,43,60,6.5,7.5,3,1,-77,59375,2785986042187,5046915457812,5047019835937,2786090479687
1623776706683760071,7c:df:a1:06:b9:dd,43,60,6.5,7.5,3,2,-77,64063,2818157042187,5079086520312,5079190835937,2818261421875
1623776707197831123,7c:df:a1:05:87:c7,39,56,5.980000019073486,7.5,3,0,-76,56250,4009756562500,5528776131250,5528879835937,4009860323437
1623776707197831123,7c:df:a1:05:87:c7,39,56,5.980000019073486,7.5,3,1,-75,59375,4041984562500,5561004159375,5561107835937,4042088298437
1623776707197831123,7c:df:a1:05:87:c7,39,56,5.980000019073486,7.5,3,2,-76,53125,4074128575000,5593148200000,5593251835937,4074232264062
1623776707712088963,7c:df:a1:0e:db:f1,41,58,6.239999771118164,7.5,3,0,-78,57813,5277605576562,6043420909375,6043524835937,5277709560937
1623776707712088963,7c:df:a1:0e:db:f1,41,58,6.239999771118164,7.5,3,1,-78,57813,5309786564062,6075601918750,6075705835937,5309890539062
1623776707712088963,7c:df:a1:0e:db:f1,41,58,6.239999771118164,7.5,3,2,-78,59376,5342200564062,6108015943750,6108119835937,5342304515625
1623776708221894472,7c:df:a1:0f:74:e9,43,60,6.5,7.5,2,0,-79,60938,127853026562,6593155779687,6593259835937,127957143750
1623776708221894472,7c:df:a1:0f:74:e9,43,60,6.5,7.5,2,1,-79,60938,159661026562,6624963878125,6625067835937,159765045312
1623776708733841381,7c:df:a1:06:b9:dd,40,57,6.110000133514404,7.5,3,0,-77,57813,4812333042187,362379778125,362483435937,4812436757812
1623776708733841381,7c:df:a1:06:b9:dd,40,57,6.110000133514404,7.5,3,1,-77,53126,4844570042187,394616837500,394720435937,4844673693750
1623776708733841381,7c:df:a1:06:b9:dd,40,57,6.110000133514404,7.5,3,2,-77,62500,4876834042187,426880898437,426984435937,4876937642187
1623776709252663228,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,0,-76,62500,6063292575000,871427528125,871531435937,6063396545312
1623776709252663228,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,1,-76,59375,6095489562500,903624542187,903728435937,6095593515625
1623776709252663228,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,2,-76,60938,6127664562500,935799571875,935903435937,6127768487500
1623776709768233504,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,0,-78,60938,623625164062,1389441996875,1389546435937,623729664062
1623776709768233504,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,1,-78,59375,655780164062,1421597017187,1421701435937,655884642187
1623776709768233504,7c:df:a1:0e:db:f1,43,60,6.5,7.5,3,2,-78,62501,687988164062,1453805040625,1453909435937,688092621875
1623776710282299789,7c:df:a1:0f:74:e9,39,56,5.980000019073486,7.5,3,0,-79,54688,2149369026562,1903791440625,1903895435937,2149473076562
1623776710282299789,7c:df:a1:0f:74:e9,39,56,5.980000019073486,7.5,3,1,-79,57813,2181514051562,1935936564062,1936040435937,2181617981250
1623776710282299789,7c:df:a1:0f:74:e9,39,56,5.980000019073486,7.5,3,2,-79,57813,2213755026562,1968177632812,1968281435937,2213858887500
1623776710796663497,7c:df:a1:06:b9:dd,38,54,5.71999979019165,7.5,3,0,-77,54688,156979642187,2417916546875,2418020435937,157083585937
1623776710796663497,7c:df:a1:06:b9:dd,38,54,5.71999979019165,7.5,3,1,-77,57813,189181642187,2450118606250,2450222435937,189285529687
1623776710796663497,7c:df:a1:06:b9:dd,38,54,5.71999979019165,7.5,3,2,-77,50001,221371642187,2482308665625,2482412435937,221475462500
1623776711311374765,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,0,-76,60937,1414048162500,2933071301562,2933175435937,1414152357812
1623776711311374765,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,1,-75,60938,1446242162500,2965265331250,2965369435937,1446346328125
1623776711311374765,7c:df:a1:05:87:c7,41,58,6.239999771118164,7.5,3,2,-75,54688,1478405175000,2997428368750,2997532435937,1478509296875
1623776711825160451,7c:df:a1:0e:db:f1,40,57,6.110000133514404,7.5,3,0,-78,56251,2681538176562,3447356412500,3447460435937,2681642256250
1623776711825160451,7c:df:a1:0e:db:f1,40,57,6.110000133514404,7.5,3,1,-78,57813,2713708164062,3479526417187,3479630435937,2713812240625
1623776711825160451,7c:df:a1:0e:db:f1,40,57,6.110000133514404,7.5,3,2,-78,59376,2745939164062,3511757440625,3511861435937,2746043218750
1623776712343243847,7c:df:a1:0f:74:e9,39,56,5.980000019073486,7.5,3,0,-79,54688,4209093051562,3963521596875,3963625435937,4209196945312
1623776712343243847,7c:df:a1:0f:74:e9,39,56,5.980000019073486,7.5,3,1,-80,57813,4242536026562,3996964670312,3997068435937,4242639850000
1623776712343243847,7c:df:a1:0f:74:e9,39,56,5.980000019073486,7.5,3,2,-79,56250,4273500026562,4027928764062,4028032435937,4273603754687
1623776712858627697,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,0,-77,59375,2217617642187,4478558326562,4478662435937,2217721810937
1623776712858627697,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,1,-78,60938,2249782642187,4510723387500,4510827435937,2249886751562
1623776712858627697,7c:df:a1:06:b9:dd,41,58,6.239999771118164,7.5,3,2,-78,56251,2283470642187,4544411446875,4544515435937,2283574687500
1623776713374843341,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,0,-75,62500,3474247162500,4993272087500,4993376435937,3474351573437
1623776713374843341,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,1,-76,57812,3506450162500,5025475114062,5025579435937,3506554542187
1623776713374843341,7c:df:a1:05:87:c7,43,60,6.5,7.5,3,2,-76,60938,3538613175000,5057638156250,5057742435937,3538717515625
1623776713889498125,7c:df:a1:0e:db:f1,39,55,5.849999904632568,7.5,3,0,-78,51563,4744922164062,5510741731250,5510845435937,4745025920312
1623776713889498125,7c:df:a1:0e:db:f1,39,55,5.849999904632568,7.5,3,1,-78,60938,4777120164062,5542939751562,5543043435937,4777223909375
1623776713889498125,7c:df:a1:0e:db:f1,39,55,5.849999904632568,7.5,3,2,-77,53126,4809414164062,5575233771875,5575337435937,4809517881250
1623776714404542223,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,0,-79,59376,6272117026562,6026551696875,6026655435937,6272220825000
1623776714404542223,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,1,-79,57813,6303434026562,6057868784375,6057972435937,6303537735937
1623776714404542223,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,2,-79,59376,6335412051562,6089846909375,6089950435937,6335515637500
1623776719926352435,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,0,-76,57812,3327031762500,3043685364062,3043789023437,3327135479687
1623776719926352435,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,1,-76,57813,3359201762500,3075855393750,3075959023437,3359305450000
1623776719926352435,7c:df:a1:0f:74:e9,41,58,6.239999771118164,7.5,3,2,-76,60938,3391417762500,3108071421875,3108175023437,3391521425000
1623776720438396986,7c:df:a1:05:87:c7,44,61,6.630000114440918,7.5,3,0,-78,73438,3115666242187,3574243839062,3574348023437,3115770500000
1623776720438396986,7c:df:a1:05:87:c7,44,61,6.630000114440918,7.5,3,1,-77,57813,3123305242187,3581882850000,3581987023437,3123409473437
1623776720438396986,7c:df:a1:05:87:c7,44,61,6.630000114440918,7.5,3,2,-77,54688,3154868242187,3613445907812,3613550023437,3154972412500
1623776720955026671,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,0,-78,53125,5100347764062,4063794345312,4063898023437,5100451495312
1623776720955026671,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,1,-78,59375,5132506764062,4095953364062,4096057023437,5132610482812
1623776720955026671,7c:df:a1:0e:db:f1,39,56,5.980000019073486,7.5,3,2,-78,56251,5164703764062,4128150378125,4128254023437,5164807465625
1623776721469605322,7c:df:a1:06:b9:dd,42,59,6.369999885559082,7.5,3,0,-79,56250,6626388626562,4578467023437,4578571023437,6626492682812
1623776721469605322,7c:df:a1:06:b9:dd,42,59,6.369999885559082,7.5,3,1,-80,65625,6658545651562,4610624148437,4610728023437,6658649592187
1623776721469605322,7c:df:a1:06:b9:dd,42,59,6.369999885559082,7.5,3,2,-79,57813,6690754626562,4642833214062,4642937023437,6690858493750
1623776721985613378,7c:df:a1:0f:74:e9,43,60,6.5,7.5,3,0,-76,64062,5376521762500,5093177142187,5093281023437,5376625707812
1623776721985613378,7c:df:a1:0f:74:e9,43,60,6.5,7.5,3,1,-76,59375,5408693762500,5125349170312,5125453023437,5408797675000
