Ponto,actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovo,distNovo,errNovo,errOwn
1,9.895958771,134,20.08609469,10.19013591,117,17.53785879,7.641900022,51.57142857,134.2857143,7,-85.42857143,17.60000038,119,17.83765125,7.94169248,7.704041609
1,7.919318152,123,18.43723617,10.51791801,97,14.53993421,6.620616061,7.839285714,123.125,8,-72.75,14.68999958,109,16.33868896,8.419370809,6.770681428
1,2.520495983,33,4.946575557,2.426079574,19,2.848028351,0.327532368,4.5,33.75,8,-73.375,2.99000001,27,4.047198183,1.5267022,0.469504027
1,2.52667766,100,14.9896229,12.46294524,78,11.69190586,9.165228202,7.125,100.375,8,-76.375,11.69999981,82,12.29149078,9.764813118,9.17332215
1,9.895958771,144,21.58505698,11.6890982,124,18.5871324,8.691173625,56.98214286,145.125,8,-85.5,18.60000038,119,17.83765125,7.94169248,8.704041609
1,7.919318152,118,17.68775502,9.76843687,93,13.9403493,6.021031145,1.357142857,118.75,8,-73,14.03999996,109,16.33868896,8.419370809,6.120681808
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,2.214285714,39.25,8,-74,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.52667766,89,13.34076438,10.81408672,68,10.19294357,7.666265912,1.982142857,89.375,8,-75,10.27000046,82,12.29149078,9.764813118,7.7433228
1,9.895958771,148,22.18464189,12.28868312,126,18.88692485,8.990966083,29.95238095,148.5714286,7,-85.71428571,19,119,17.83765125,7.94169248,9.104041229
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,0.8,117.4,5,-73,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,40,5.99584916,3.475353177,26,3.897301954,1.376805971,3.642857143,40.25,8,-74,3.900000095,27,4.047198183,1.5267022,1.379504112
1,2.52667766,87,13.04097192,10.51429426,66,9.893151114,7.366473454,2.857142857,87.5,8,-75,10.01000023,82,12.29149078,9.764813118,7.48332257
1,9.895958771,156,23.38381172,13.48785295,132,19.78630223,9.890343457,48.41071429,156.125,8,-85.5,19.79999924,119,17.83765125,7.94169248,9.904040469
1,7.919318152,121,18.13744371,10.21812556,96,14.39003798,6.470719832,7.357142857,121.25,8,-73,14.43000031,109,16.33868896,8.419370809,6.510682158
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,2.571428571,39.5,8,-74,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.520495983,33,4.946575557,2.426079574,19,2.848028351,0.327532368,1.125,33.625,8,-74,2.99000001,27,4.047198183,1.5267022,0.469504027
1,2.52667766,91,13.64055684,11.11387918,70,10.49273603,7.96605837,8.857142857,91.5,8,-76,10.52999973,82,12.29149078,9.764813118,8.00332207
1,9.895958771,145,21.73495321,11.83899443,124,18.5871324,8.691173625,15.47619048,145.8571429,7,-85.71428571,18.70000076,119,17.83765125,7.94169248,8.804041989
1,7.919318152,109,16.33868896,8.419370809,85,12.74117947,4.821861313,957.4285714,109.5,8,-73,12.86999989,109,16.33868896,8.419370809,4.950681738
1,2.520495983,38,5.696056702,3.175560719,24,3.597509496,1.077013513,4.839285714,38.375,8,-74.125,3.640000105,27,4.047198183,1.5267022,1.119504122
1,2.52667766,91,13.64055684,11.11387918,70,10.49273603,7.96605837,3.696428571,91.375,8,-75.375,10.52999973,82,12.29149078,9.764813118,8.00332207
1,9.895958771,155,23.2339155,13.33795672,131,19.636406,9.740447228,9.3,155.4,5,-85,19.70000076,119,17.83765125,7.94169248,9.804041989
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,0.982142857,119.875,8,-73,14.17000008,109,16.33868896,8.419370809,6.250681928
1,2.520495983,43,6.445537847,3.925041864,28,4.197094412,1.676598429,5.142857143,43.14285714,7,-74,4.289999962,27,4.047198183,1.5267022,1.769503979
1,2.52667766,90,13.49066061,10.96398295,69,10.3428398,7.816162141,2.285714286,90.57142857,7,-75,10.39999962,82,12.29149078,9.764813118,7.87332196
1,9.895958771,149,22.33453812,12.43857935,127,19.03682108,9.140862312,91.61904762,149.5714286,7,-85.28571429,19.10000038,119,17.83765125,7.94169248,9.204041609
1,7.919318152,121,18.13744371,10.21812556,96,14.39003798,6.470719832,18.28571429,121.4285714,7,-73,14.43000031,109,16.33868896,8.419370809,6.510682158
1,2.520495983,40,5.99584916,3.475353177,26,3.897301954,1.376805971,15.07142857,40.75,8,-74,3.900000095,27,4.047198183,1.5267022,1.379504112
1,2.52667766,90,13.49066061,10.96398295,69,10.3428398,7.816162141,6.285714286,90.57142857,7,-75.57142857,10.39999962,82,12.29149078,9.764813118,7.87332196
1,9.895958771,156,23.38381172,13.48785295,132,19.78630223,9.890343457,202.9821429,156.125,8,-84.625,19.79999924,119,17.83765125,7.94169248,9.904040469
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,2.285714286,119.5714286,7,-73,14.17000008,109,16.33868896,8.419370809,6.250681928
1,2.520495983,41,6.145745389,3.625249406,26,3.897301954,1.376805971,1.238095238,41.71428571,7,-74,4.03000021,27,4.047198183,1.5267022,1.509504227
1,2.52667766,93,13.9403493,11.41367164,71,10.64263226,8.115954599,5.642857143,93.75,8,-76.125,10.78999996,82,12.29149078,9.764813118,8.2633223
1,9.895958771,145,21.73495321,11.83899443,124,18.5871324,8.691173625,79,146,7,-85.28571429,18.70000076,119,17.83765125,7.94169248,8.804041989
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,2.857142857,119.5,8,-73,14.17000008,109,16.33868896,8.419370809,6.250681928
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,3.285714286,37.42857143,7,-74.42857143,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,90,13.49066061,10.96398295,69,10.3428398,7.816162141,1.125,90.625,8,-75,10.39999962,82,12.29149078,9.764813118,7.87332196
1,9.895958771,143,21.43516075,11.53920198,123,18.43723617,8.541277396,10.57142857,143,8,-86.125,18.5,119,17.83765125,7.94169248,8.604041229
1,7.919318152,115,17.23806634,9.318748183,91,13.64055684,5.721238687,40.57142857,115.7142857,7,-72.85714286,13.64999962,109,16.33868896,8.419370809,5.730681468
1,2.520495983,38,5.696056702,3.175560719,24,3.597509496,1.077013513,2.410714286,39.125,8,-74,3.640000105,27,4.047198183,1.5267022,1.119504122
1,2.52667766,87,13.04097192,10.51429426,66,9.893151114,7.366473454,1.285714286,87.57142857,7,-75,10.01000023,82,12.29149078,9.764813118,7.48332257
1,9.895958771,153,22.93412304,13.03816427,130,19.48650977,9.590550999,46.55357143,153.625,8,-85.125,19.5,119,17.83765125,7.94169248,9.604041229
1,7.919318152,116,17.38796256,9.468644412,91,13.64055684,5.721238687,5.238095238,116.7142857,7,-72.42857143,13.77999973,109,16.33868896,8.419370809,5.860681578
1,2.520495983,35,5.246368015,2.725872032,21,3.147820809,0.627324826,4.285714286,36,8,-74.75,3.25,27,4.047198183,1.5267022,0.729504017
1,2.52667766,87,13.04097192,10.51429426,66,9.893151114,7.366473454,16.78571429,87.75,8,-75,10.01000023,82,12.29149078,9.764813118,7.48332257
1,9.895958771,163,24.43308533,14.53712656,136,20.38588714,10.48992837,42.66666667,163.3333333,6,-84.5,20.5,119,17.83765125,7.94169248,10.60404123
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,1.410714286,117.625,8,-72.875,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,40,5.99584916,3.475353177,26,3.897301954,1.376805971,3.125,40.375,8,-74.25,3.900000095,27,4.047198183,1.5267022,1.379504112
1,2.52667766,92,13.79045307,11.26377541,71,10.64263226,8.115954599,1.357142857,92.25,8,-75.375,10.65999985,82,12.29149078,9.764813118,8.13332219
1,9.895958771,142,21.28526452,11.38930575,122,18.28733994,8.391381167,25.76666667,142.8333333,6,-86.16666667,18.39999962,119,17.83765125,7.94169248,8.504040849
1,7.919318152,118,17.68775502,9.76843687,93,13.9403493,6.021031145,4.125,118.125,8,-72.875,14.03999996,109,16.33868896,8.419370809,6.120681808
1,2.520495983,37,5.546160473,3.02566449,23,3.447613267,0.927117284,2.571428571,38,8,-74.375,3.50999999,27,4.047198183,1.5267022,0.989504007
1,2.52667766,90,13.49066061,10.96398295,69,10.3428398,7.816162141,2.214285714,90.75,8,-75.25,10.39999962,82,12.29149078,9.764813118,7.87332196
1,9.895958771,148,22.18464189,12.28868312,126,18.88692485,8.990966083,62.47619048,148.8571429,7,-85.42857143,19,119,17.83765125,7.94169248,9.104041229
1,7.919318152,120,17.98754748,10.06822933,95,14.24014176,6.320823603,1.928571429,120.75,8,-72.875,14.30000019,109,16.33868896,8.419370809,6.380682038
1,2.520495983,34,5.096471786,2.575975803,20,2.99792458,0.477428597,8.857142857,34.5,8,-75,3.119999886,27,4.047198183,1.5267022,0.599503903
